,id,type,gender,sexo,pessoa,idade
41084,48995.0,F,M,2,0,42
41085,48996.0,F,M,2,0,15
41086,48997.0,F,F,1,0,15
41087,48998.0,F,M,2,0,25
41088,48999.0,F,F,1,0,49
41089,49000.0,F,M,2,0,38
41090,49001.0,F,M,2,0,43
41091,49002.0,F,F,1,0,29
41092,49003.0,F,F,1,0,38
41093,49004.0,F,F,1,0,25
41094,49005.0,F,M,2,0,25
41095,49006.0,F,M,2,0,32
41096,49007.0,F,M,2,0,23
41098,49009.0,F,M,2,0,23
41099,49010.0,F,F,1,0,30
41101,49012.0,F,M,2,0,49
41102,49013.0,F,M,2,0,15
41103,49014.0,F,F,1,0,23
41104,49015.0,F,F,1,0,15
41105,49016.0,F,F,1,0,41
41106,49017.0,F,M,2,0,46
41107,49018.0,F,F,1,0,42
41108,49019.0,F,M,2,0,40
41112,49023.0,F,F,1,0,15
41113,49024.0,F,M,2,0,50
41114,49025.0,F,M,2,0,47
41115,49026.0,F,M,2,0,40
41116,49027.0,F,F,1,0,25
41117,49028.0,F,F,1,0,34
41118,49029.0,F,M,2,0,15
41119,49030.0,F,F,1,0,37
41120,49031.0,F,F,1,0,49
41121,49032.0,F,M,2,0,48
41122,49033.0,F,M,2,0,27
41123,49034.0,F,M,2,0,26
41124,49035.0,F,F,1,0,24
41125,49036.0,F,F,1,0,26
41126,49037.0,F,F,1,0,26
41127,49038.0,F,M,2,0,15
41128,49039.0,F,F,1,0,15
41129,49040.0,F,F,1,0,42
41132,49043.0,F,M,2,0,15
41133,49044.0,F,M,2,0,25
41135,49046.0,F,F,1,0,51
41136,49047.0,F,F,1,0,15
41137,49048.0,F,F,1,0,15
41138,49049.0,F,M,2,0,15
41139,49050.0,F,M,2,0,15
41140,49051.0,F,M,2,0,15
41141,49052.0,F,M,2,0,45
41142,49053.0,F,F,1,0,34
41143,49054.0,F,F,1,0,34
41144,49055.0,F,M,2,0,25
41145,49056.0,F,F,1,0,25
41146,49057.0,F,F,1,0,31
41147,49058.0,F,M,2,0,28
41148,49059.0,F,M,2,0,33
41149,49060.0,F,M,2,0,15
41150,49061.0,F,M,2,0,34
41151,49062.0,F,M,2,0,15
41152,49063.0,F,F,1,0,49
41153,49064.0,F,F,1,0,29
41154,49065.0,F,M,2,0,44
41155,49066.0,F,M,2,0,46
41157,49068.0,F,F,1,0,15
41158,49069.0,F,F,1,0,15
41159,49070.0,F,M,2,0,39
41160,49071.0,F,F,1,0,36
41161,49072.0,F,M,2,0,49
41162,49073.0,F,F,1,0,35
41164,49075.0,F,F,1,0,40
41165,49076.0,F,M,2,0,15
41168,49079.0,F,F,1,0,25
41169,49080.0,F,F,1,0,32
41170,49081.0,F,F,1,0,24
41172,49083.0,F,F,1,0,36
41174,49085.0,F,M,2,0,15
41176,49087.0,F,M,2,0,23
41177,49088.0,F,F,1,0,63
41178,49089.0,F,F,1,0,35
41179,49090.0,F,M,2,0,15
41180,49091.0,F,M,2,0,47
41181,49092.0,F,M,2,0,29
41182,49093.0,F,F,1,0,40
41183,49094.0,F,M,2,0,49
41184,49095.0,F,M,2,0,15
41186,49097.0,F,F,1,0,15
41187,49098.0,F,F,1,0,15
41188,49099.0,F,M,2,0,15
41189,49100.0,F,F,1,0,15
41190,49101.0,F,F,1,0,39
41191,49102.0,F,F,1,0,25
41193,49104.0,F,F,1,0,15
41194,49105.0,F,F,1,0,15
41195,49106.0,F,M,2,0,15
41196,49107.0,F,F,1,0,15
41197,49108.0,F,M,2,0,28
41198,49109.0,F,F,1,0,35
41199,49110.0,F,F,1,0,24
41200,49111.0,F,F,1,0,30
41201,49112.0,F,M,2,0,72
41202,49113.0,F,F,1,0,75
41203,49114.0,F,M,2,0,43
41204,49115.0,F,M,2,0,28
41205,49116.0,F,M,2,0,15
41207,49118.0,F,M,2,0,15
41209,49120.0,F,M,2,0,26
41210,49121.0,F,F,1,0,47
41212,49123.0,F,M,2,0,25
41213,49124.0,F,F,1,0,25
41214,49125.0,F,M,2,0,33
41215,49126.0,F,F,1,0,50
41216,49127.0,F,F,1,0,15
41217,49128.0,J,E,0,1,40
41218,49129.0,F,F,1,0,38
41220,49131.0,F,M,2,0,34
41221,49132.0,F,F,1,0,49
41222,49133.0,F,M,2,0,24
41223,49134.0,F,M,2,0,29
41224,49135.0,F,M,2,0,26
41225,49136.0,F,M,2,0,50
41228,49139.0,F,M,2,0,23
41229,49140.0,F,M,2,0,15
41231,49142.0,F,M,2,0,25
41232,49143.0,F,M,2,0,33
41233,49144.0,F,F,1,0,47
41234,49145.0,F,M,2,0,15
41235,49146.0,F,M,2,0,27
41236,49147.0,F,M,2,0,27
41237,49148.0,F,M,2,0,50
41238,49149.0,F,M,2,0,15
41240,49151.0,F,M,2,0,15
41242,49153.0,F,M,2,0,36
41243,49154.0,F,F,1,0,15
41245,49156.0,F,F,1,0,15
41246,49157.0,F,M,2,0,44
41247,49158.0,F,F,1,0,31
41248,49159.0,F,F,1,0,46
41251,49162.0,F,F,1,0,39
41256,49167.0,F,F,1,0,26
41258,49169.0,F,F,1,0,38
41259,49170.0,F,F,1,0,24
41260,49171.0,F,M,2,0,43
41261,49172.0,F,F,1,0,25
41262,49173.0,F,F,1,0,34
41263,49174.0,F,F,1,0,31
41264,49175.0,F,M,2,0,47
41265,49176.0,F,M,2,0,15
41266,49177.0,F,M,2,0,40
41267,49178.0,F,F,1,0,15
41268,49179.0,F,M,2,0,26
41271,49182.0,F,F,1,0,15
41273,49184.0,F,F,1,0,43
41274,49185.0,F,M,2,0,15
41276,49187.0,F,M,2,0,26
41277,49188.0,F,M,2,0,15
41278,49189.0,F,F,1,0,49
41279,49190.0,F,F,1,0,46
41280,49191.0,F,F,1,0,49
41281,49192.0,F,F,1,0,15
41282,49193.0,F,M,2,0,38
41283,49194.0,F,M,2,0,41
41284,49195.0,F,F,1,0,40
41285,49196.0,F,F,1,0,44
41286,49197.0,F,M,2,0,47
41287,49198.0,F,M,2,0,29
41288,49199.0,F,M,2,0,35
41290,49201.0,F,F,1,0,15
41291,49202.0,F,F,1,0,36
41292,49203.0,F,M,2,0,27
41293,49204.0,F,M,2,0,15
41294,49205.0,F,M,2,0,15
41295,49206.0,F,M,2,0,46
41298,49209.0,F,F,1,0,43
41299,49210.0,F,M,2,0,38
41300,49211.0,F,F,1,0,36
41301,49212.0,F,F,1,0,45
41302,49213.0,F,F,1,0,32
41303,49214.0,F,M,2,0,49
41304,49215.0,F,F,1,0,32
41305,49216.0,F,F,1,0,34
41306,49217.0,F,F,1,0,41
41307,49218.0,F,M,2,0,74
41309,49220.0,F,M,2,0,42
41310,49221.0,F,F,1,0,24
41311,49222.0,F,M,2,0,26
41312,49223.0,F,M,2,0,38
41313,49224.0,F,M,2,0,30
41314,49225.0,F,M,2,0,26
41315,49226.0,F,F,1,0,26
41316,49227.0,F,F,1,0,34
41318,49229.0,F,M,2,0,32
41320,49231.0,F,F,1,0,44
41321,49232.0,F,F,1,0,53
41322,49233.0,F,M,2,0,23
41324,49235.0,F,M,2,0,39
41325,49236.0,F,M,2,0,36
41326,49237.0,F,F,1,0,25
41328,49239.0,F,M,2,0,26
41329,49240.0,F,M,2,0,33
41330,49241.0,F,M,2,0,15
41332,49243.0,F,F,1,0,40
41333,49244.0,F,F,1,0,33
41334,49245.0,F,M,2,0,26
41336,49247.0,F,M,2,0,30
41337,49248.0,F,M,2,0,36
41341,49252.0,F,F,1,0,15
41342,49253.0,F,M,2,0,48
41343,49254.0,F,M,2,0,42
41344,49255.0,F,F,1,0,27
41345,49256.0,F,M,2,0,48
41346,49257.0,F,F,1,0,32
41347,49258.0,F,M,2,0,45
41348,49259.0,F,F,1,0,27
41349,49260.0,F,F,1,0,40
41350,49261.0,F,M,2,0,50
41352,49263.0,F,F,1,0,50
41354,49265.0,F,M,2,0,44
41355,49266.0,F,F,1,0,42
41356,49267.0,F,F,1,0,38
41357,49268.0,F,F,1,0,39
41358,49269.0,F,F,1,0,30
41359,49270.0,F,F,1,0,15
41360,49271.0,F,M,2,0,31
41362,49273.0,F,F,1,0,64
41363,49274.0,F,M,2,0,39
41364,49275.0,F,M,2,0,39
41365,49276.0,F,M,2,0,15
41367,49278.0,F,M,2,0,36
41368,49279.0,F,M,2,0,59
41369,49280.0,F,M,2,0,29
41370,49281.0,F,M,2,0,46
41373,49284.0,F,F,1,0,48
41374,49285.0,F,F,1,0,27
41375,49286.0,F,F,1,0,37
41376,49287.0,F,M,2,0,15
41377,49288.0,F,F,1,0,28
41379,49290.0,F,M,2,0,44
41380,49291.0,F,M,2,0,23
41381,49292.0,F,F,1,0,24
41382,49293.0,F,F,1,0,27
41383,49294.0,F,M,2,0,30
41384,49295.0,F,F,1,0,40
41385,49296.0,F,M,2,0,23
41386,49297.0,F,M,2,0,28
41387,49298.0,F,M,2,0,23
41389,49300.0,F,M,2,0,25
41390,49301.0,F,M,2,0,23
41391,49302.0,F,M,2,0,15
41392,49303.0,F,M,2,0,41
41393,49304.0,F,M,2,0,27
41394,49305.0,F,M,2,0,30
41395,49306.0,F,M,2,0,23
41396,49307.0,F,F,1,0,23
41397,49308.0,F,M,2,0,56
